_Alsace;1275;1049
Je rougis quand je suis embarrassé(e);137;188
Je suis accro à mon portable;4;17
Je ne finis pas mes phrases;20;17
Je bois directement à la bouteille;23;19
Je n'ai pas le sens de l'orientation;25;117
Je vole la couette;64;70
Je ris de mes propres blagues;49;32
Je ne rebouche pas le dentifrice;8;9
Je ne suis pas calme au volant;31;40
Je ris souvent trop fort;79;71
Je photographie tout ce que je mange;;5
Je picore dans l'assiette de mon voisin;11;11
Je parle sans réfléchir;70;49
Je chante sous la douche;33;28
Je ronfle;44;15
Je préfère le garder pour moi;40;36
Je suis un(e) couche-tard;145;53
Je suis un(e) lève-tôt;190;124
Je ne suis pas du matin;85;72
Je ne sais pas danser;122;17
Je ne sais pas cuisiner;10;13
Je ne sais pas;85;46
(blank);0;0
_Aquitaine;2471;2080
Je rougis quand je suis embarrassé(e);208;280
Je suis accro à mon portable;27;31
Je ne finis pas mes phrases;32;35
Je bois directement à la bouteille;51;46
Je n'ai pas le sens de l'orientation;75;243
Je vole la couette;142;185
Je ris de mes propres blagues;108;63
Je ne rebouche pas le dentifrice;17;20
Je ne suis pas calme au volant;63;74
Je ris souvent trop fort;112;134
Je photographie tout ce que je mange;7;7
Je picore dans l'assiette de mon voisin;21;18
Je parle sans réfléchir;116;91
Je chante sous la douche;76;42
Je ronfle;81;46
Je préfère le garder pour moi;95;79
Je suis un(e) couche-tard;292;140
Je suis un(e) lève-tôt;321;221
Je ne suis pas du matin;177;151
Je ne sais pas danser;290;40
Je ne sais pas cuisiner;27;30
Je ne sais pas;133;104
(blank);0;0
_Auvergne;986;796
Je rougis quand je suis embarrassé(e);112;104
Je suis accro à mon portable;6;12
Je ne finis pas mes phrases;14;17
Je bois directement à la bouteille;23;15
Je n'ai pas le sens de l'orientation;29;89
Je vole la couette;42;49
Je ris de mes propres blagues;37;14
Je ne rebouche pas le dentifrice;8;4
Je ne suis pas calme au volant;26;33
Je ris souvent trop fort;44;54
Je photographie tout ce que je mange;2;5
Je picore dans l'assiette de mon voisin;3;7
Je parle sans réfléchir;29;40
Je chante sous la douche;23;15
Je ronfle;33;12
Je préfère le garder pour moi;39;45
Je suis un(e) couche-tard;114;70
Je suis un(e) lève-tôt;171;87
Je ne suis pas du matin;57;54
Je ne sais pas danser;118;23
Je ne sais pas cuisiner;9;18
Je ne sais pas;47;29
(blank);0;0
_Basse-Normandie;968;863
Je rougis quand je suis embarrassé(e);109;126
Je suis accro à mon portable;12;20
Je ne finis pas mes phrases;12;17
Je bois directement à la bouteille;14;12
Je n'ai pas le sens de l'orientation;28;69
Je vole la couette;46;57
Je ris de mes propres blagues;33;31
Je ne rebouche pas le dentifrice;12;8
Je ne suis pas calme au volant;22;39
Je ris souvent trop fort;37;59
Je photographie tout ce que je mange;2;4
Je picore dans l'assiette de mon voisin;6;14
Je parle sans réfléchir;33;43
Je chante sous la douche;29;18
Je ronfle;45;21
Je préfère le garder pour moi;48;37
Je suis un(e) couche-tard;132;77
Je suis un(e) lève-tôt;118;69
Je ne suis pas du matin;80;66
Je ne sais pas danser;94;20
Je ne sais pas cuisiner;8;19
Je ne sais pas;48;37
(blank);0;0
_Bourgogne;1117;863
Je rougis quand je suis embarrassé(e);106;145
Je suis accro à mon portable;5;12
Je ne finis pas mes phrases;13;18
Je bois directement à la bouteille;11;18
Je n'ai pas le sens de l'orientation;23;94
Je vole la couette;70;58
Je ris de mes propres blagues;38;20
Je ne rebouche pas le dentifrice;9;3
Je ne suis pas calme au volant;28;23
Je ris souvent trop fort;53;63
Je photographie tout ce que je mange;3;3
Je picore dans l'assiette de mon voisin;13;9
Je parle sans réfléchir;51;30
Je chante sous la douche;22;25
Je ronfle;51;20
Je préfère le garder pour moi;49;41
Je suis un(e) couche-tard;123;53
Je suis un(e) lève-tôt;157;109
Je ne suis pas du matin;84;53
Je ne sais pas danser;113;14
Je ne sais pas cuisiner;16;12
Je ne sais pas;79;40
(blank);0;0
_Bretagne;2602;2074
Je rougis quand je suis embarrassé(e);205;301
Je suis accro à mon portable;16;27
Je ne finis pas mes phrases;32;44
Je bois directement à la bouteille;32;19
Je n'ai pas le sens de l'orientation;76;220
Je vole la couette;118;155
Je ris de mes propres blagues;94;63
Je ne rebouche pas le dentifrice;25;15
Je ne suis pas calme au volant;58;72
Je ris souvent trop fort;135;123
Je photographie tout ce que je mange;3;9
Je picore dans l'assiette de mon voisin;17;23
